review_id,text_clean,text_raw,aspects,aspect_sentiments,star_rating_norm,is_app_platform,char_len,word_len,arabic_ratio,has_emoji
5360,الويتر الذي ياخذ الاوردور قمة في الغرور.,الويتر(الذي يأخذ الاوردور) قمة في الغرور.....,['service'],{'service': 'negative'},0.6,0,45,6,0.7333333333333333,0
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الى تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادية والجميلة التي يحرص الدكتور خالد على تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد","['service', 'cleanliness', 'ambiance']","{'service': 'positive', 'cleanliness': 'positive', 'ambiance': 'positive'}",1.0,0,701,114,0.8316690442225392,0
8800,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم باعداد هذا البرنامج الجميل,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم بإعداد هذآ البرنامج الجميل,['app_experience'],{'app_experience': 'positive'},1.0,1,69,13,0.8260869565217391,0
5323,خدمه ممتازه,خدمه ممتازه,['service'],{'service': 'positive'},1.0,0,11,2,0.9090909090909091,0
5580,,💙💙💙,['general'],{'general': 'positive'},1.0,0,3,1,0.0,1
5984,لااسف ولايستاهل نجمه خدمات سييه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,لااسف ولايستاهل نجمه خدمات سيئه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,['service'],{'service': 'negative'},0.2,0,133,22,0.7969924812030075,0
9610,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,['app_experience'],{'app_experience': 'negative'},0.2,1,88,16,0.8295454545454546,0
8914,التطبيق ما يشغل الاغاني القديمة,التطبيق ما يشغل الاغاني القديمة,['app_experience'],{'app_experience': 'negative'},0.2,1,31,5,0.8709677419354839,0
9630,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والاستاذ هشام جزاه الله خير الجزاء,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والأستاذ هشام جزاه الله خير الجزاء,"['app_experience', 'service']","{'app_experience': 'positive', 'service': 'positive'}",1.0,1,76,13,0.8421052631578947,0
6624,الموظفين سيء خدمه,الموظفين سئء خدمه,['service'],{'service': 'negative'},0.4,1,17,3,0.8823529411764706,0
6515,لا يتم اخذ الشكوى بعين الاعتبار ويتم الاعتماد على السايق حتى لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه,لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,"['service', 'app_experience', 'price']","{'service': 'negative', 'app_experience': 'negative', 'price': 'negative'}",0.2,1,196,35,0.826530612244898,0
4515,نوعا ما جيد,نوعا ما جيد,['general'],{'general': 'positive'},0.8,0,11,3,0.8181818181818182,0
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,"['ambiance', 'service', 'food', 'price']","{'ambiance': 'positive', 'service': 'positive', 'food': 'positive', 'price': 'neutral'}",0.8,0,67,11,0.8507462686567164,0
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولى التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة على تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رايعة.","We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential.

نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للأسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجًا كما ينبغي، والسلطة لم تكن طازجة أيضًا. كما أن الخدمة تختلف عن تجربتنا الأولى التي كانت أفضل بكثير. وأحيانًا شعرنا كأجانب بأننا غير مُقدَّرين، وهذا كان محبطًا. نأمل بصدق أن يعمل الإدارة على تحسين ثبات الجودة في الطعام والخدمة، لأن هذا المكان لديه إمكانات رائعة.","['food', 'service']","{'food': 'negative', 'service': 'negative'}",0.2,0,886,147,0.3544018058690745,0
6560,متعبه جدا من خلال خدمة العملاء,متعبه جدا من خلال خدمة العملاء,['service'],{'service': 'negative'},0.2,1,30,6,0.8333333333333334,0
6745,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتى رقم تواصل مافي ايش القرف ذا,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتى رقم تواصل مافي ايش القرف ذا,"['service', 'app_experience']","{'service': 'negative', 'app_experience': 'negative'}",0.2,1,134,29,0.7910447761194029,0
9783,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلى من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدايله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,أسوأ تطبيق وأسوأ تجربة تطبيق فاشل ويضع مصلحة أصحاب الشركات أعلى من مصلحة العملاء وسوف احذفه ولن اتعامل به ابداً وفيه بدائله مميزة وكثيرة وافضل في الخدمة والأسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,"['app_experience', 'service', 'price']","{'app_experience': 'negative', 'service': 'negative', 'price': 'negative'}",0.2,1,221,39,0.8280542986425339,0
7386,حلو,حلو,['general'],{'general': 'positive'},1.0,1,3,1,1.0,0
3340,اول تجربة وغالبا الاخيرة، طلبت دليفري جالي بعد ، اكتر من ساعتين، وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم، تجربة سيية جدا,"أول تجربة وغالبا الأخيرة، طلبت دليفري جالي بعد  ،
اكتر من ساعتين،  وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم،
تجربة سيئة جدا","['delivery', 'service']","{'delivery': 'negative', 'service': 'negative'}",0.4,0,200,35,0.82,0
638,مطعم فطور غداء عشاء تم تجربة الفطور طريقة تقديم وطبخ مختلفة تستاهل التجربة. تنوع كبير في الاصناف لا توجد مواقف جودة الاكل 10 09 لذة الاكل 10 10 النظافة 10 10 الجلسة 10 10 الخدمة 10 10 السعر مقولة جدا,"مطعم فطور غداء عشاء
تم تجربة الفطور
+ طريقة تقديم وطبخ مختلفة تستاهل التجربة.
+ تنوع كبير في الاصناف
- لا توجد مواقف

جودة الأكل  10/09
لذة الأكل     10/10
النظافة        10/10
الجلسة        10/10
الخدمة        10/10
السعر          $$$/$$$$$ مقولة جدا","['food', 'cleanliness', 'ambiance', 'service', 'price']","{'food': 'positive', 'cleanliness': 'positive', 'ambiance': 'positive', 'service': 'positive', 'price': 'positive'}",1.0,0,251,39,0.5537848605577689,0
1590,المكان لطيف والجلسات جميله وهاديه والموظفين رايعين لاكن الطعام كان اقل من عادي اتمنى لكم التوفيق,المكان لطيف والجلسات جميله وهادئه والموظفين رائعين لاكن الطعام كان اقل من عادي اتمنى لكم التوفيق,"['ambiance', 'service', 'food']","{'ambiance': 'positive', 'service': 'positive', 'food': 'negative'}",0.6,0,96,16,0.84375,0
6525,مفيش كباتن بيضيع وقتنا والاخر محدش بييجي,مفيش كباتن بيضيع وقتنا والآخر محدش بييجي,['service'],{'service': 'negative'},0.2,1,40,7,0.85,0
2639,انا طلبت النهارده كانت سيء جدا شندوتش الطعميه الطماطم شيلو عنق الطماطم بطلوا عفانه بقي سندوتش فيه طماطم والتاني لا اهتموا بالنظافه يا جماعه بطلوا عفانه,"انا طلبت النهارده كانت سيء جدا شندوتش الطعميه الطماطم شيلو عنق الطماطم بطلوا عفانه بقي
سندوتش فيه طماطم والتاني لا اهتموا بالنظافه يا جماعه بطلوا عفانه","['food', 'cleanliness']","{'food': 'negative', 'cleanliness': 'negative'}",0.2,0,151,26,0.8344370860927153,0
7196,الي الان افضل تطبيق طلبت منو من حيث سرعه التوصيل وجوده المنتجات,الي الان افضل تطبيق طلبت منو من حيث سرعه التوصيل وجوده المنتجات,"['delivery', 'app_experience']","{'delivery': 'positive', 'app_experience': 'positive'}",1.0,1,63,12,0.8253968253968254,0
1415,الاسعار غاليه جدا جدا جدا بصراحة كثيرا اووي,الاسعار غاليه جدا جدا جدا بصراحة كثيرا آووي,['price'],{'price': 'negative'},0.4,0,43,8,0.8372093023255814,0
1765,الاكل جميل و المكان ممتاز و الاسطاف زوق,الاكل جميل و المكان ممتاز و الاسطاف زوق,"['food', 'ambiance', 'service']","{'food': 'positive', 'ambiance': 'positive', 'service': 'positive'}",1.0,0,39,8,0.8205128205128205,0
7612,كان زمان كويس حاليا منتجات فرز تاني و عيوب كتير و التوصيل بعد اسبوع او اكتر و مناديب التوصيل منتهى قلة الذوق و خدمة عملاء سيية جدا نون و امازون افضل ميت مره,كان زمان كويس حاليآ منتجات فرز تاني و عيوب كتير و التوصيل بعد أسبوع أو أكتر و مناديب التوصيل منتهى قلة الذوق و خدمة عملاء سيئة جدآ نون و أمازون أفضل ميت مره,"['food', 'delivery', 'service']","{'food': 'negative', 'delivery': 'negative', 'service': 'negative'}",0.2,1,156,33,0.7948717948717948,0
9236,زوين بزاف بزاف عزيز عليا,زوين بزاف بزاف عزيز عليا,['general'],{'general': 'positive'},1.0,1,24,5,0.8333333333333334,0
9763,ممتاز بوكنج يساعدني كثير,ممتاز بوكنج يساعدني كثير,['app_experience'],{'app_experience': 'positive'},1.0,1,24,4,0.875,0
861,من افضل المطاعم اللي افطرت واكلت فيها بحي زهرة المعادي ونشكر الخ الحبيبي مصطفى على حسن الضيافة والاستقبال والكرام الغير مستغرب من اخواننا حبايبنا,‏من أفضل المطاعم اللي افطرت واكلت فيها بحي زهرة المعادي ونشكر الخ الحبيبي مصطفى على حسن الضيافة والاستقبال والكرام الغير مستغرب من اخواننا حبايبنا,['service'],{'service': 'positive'},1.0,0,146,24,0.8356164383561644,0
1881,مطعم سوري كويس يعتبر الافضل في المنطقة,مطعم سوري كويس يعتبر الأفضل في المنطقة,['general'],{'general': 'positive'},0.8,0,38,7,0.8421052631578947,0
3182,خدمه سيية النت يقول لك مجاني وهو ما يشتغل ونكلمهم يصرفونا اخلاق سييه وكذب من الموضفين,"خدمه سيئة النت يقول لك مجاني وهو ما يشتغل ونكلمهم يصرفونا
أخلاق سيئه وكذب من الموضفين",['service'],{'service': 'negative'},0.4,0,85,16,0.8235294117647058,0
6708,للاسف حاليا اكو انحدار بمستوى الكباتن . سابقا كان الكباتن محترمين واسلوبهم مودب حاليا لا كثير منهم يسوق ويتكلم بالهاتف بنفس الوقت وبشكل مزعج ومشغل الاغاني بصوت عالي ولمن تطلب منه يطفي الراديو او يترك الهاتف اثناء السياقه ينزعج وينهي الرحلة وينزل الزبون . يا ريت تنبهون الكباتن انو يكونون محترمين بالتعامل مع الزبون,للاسف حاليا اكو انحدار بمستوى الكباتن ... سابقا كان الكباتن محترمين واسلوبهم مؤدب حاليا لا كثير منهم يسوق ويتكلم بالهاتف بنفس الوقت وبشكل مزعج ومشغل الاغاني بصوت عالي ولمن تطلب منه يطفي الراديو او يترك الهاتف اثناء السياقه ينزعج وينهي الرحلة وينزل الزبون ... يا ريت تنبهون الكباتن انو يكونون محترمين بالتعامل مع الزبون,['service'],{'service': 'negative'},0.4,1,318,54,0.8144654088050315,0
2980,المكان overpriced بطريقة مش مستاهلة خالص يعني overpriced بشكل ملحوظ و المكان عادي جدا اقل من العادي ف كل حاجة مش حاجة واو او premium مثلا منصحش حد بيه,المكان overpriced بطريقة مش مستاهلة خالص يعني overpriced بشكل ملحوظ و المكان عادي جدا اقل من العادي ف كل حاجة مش حاجة واو او premium مثلا … منصحش حد بيه,"['price', 'ambiance']","{'price': 'negative', 'ambiance': 'negative'}",0.2,0,152,30,0.625,0
8633,الصراحه هو تطبيق حلو وكل حاجه بس لو رجع زي زمان زمان كان تقدر ترجع وتسرع برحتك في الاغنية وكمان ممكن تحمل الاغنية الي انت عاوزها,الصراحه هو تطبيق حلو وكل حاجه بس لو رجع زي زمان زمان كان تقدر ترجع وتسرع برحتك في الأغنية وكمان ممكن تحمل الاغنية الي انت عاوزها,['app_experience'],{'app_experience': 'neutral'},0.6,1,128,26,0.8046875,0
880,المطعم كويس جدا والاكل طعمه حلو والخدمة ممتازة. حابة اشكر الوايتر حسام تحديدا، كان ذوق جدا وهادي ومحترم، وطريقته في الكلام لطيفة وخلت التجربة احلى. اكيد هكرر الزيارة,المطعم كويس جدًا والأكل طعمه حلو والخدمة ممتازة. حابة أشكر الوايتر حسام تحديدًا، كان ذوق جدًا وهادئ ومحترم، وطريقته في الكلام لطيفة وخلت التجربة أحلى. أكيد هكرر الزيارة,"['food', 'service']","{'food': 'positive', 'service': 'positive'}",1.0,0,168,28,0.8273809523809523,0
6034,البوتيك حلو يستحق الزياره بس موقعه غلط هو قدام مطعم ذا مود يارب تنتبهون,البوتيك حلو  يستحق الزياره بس موقعه غلط هو قدام مطعم ذا مود يارب تنتبهون,['ambiance'],{'ambiance': 'neutral'},0.6,0,72,14,0.8055555555555556,0
7694,امازن شركه زباله شغاله في الشعبى ويضحك عليكى باسعار عاليه شركه زباله جدا,امازن شركه زباله شغاله في الشعبى ويضحك عليكى بأسعار عاليه شركه زباله جدا,['price'],{'price': 'negative'},0.2,1,72,13,0.8333333333333334,0
9511,اكثر من رايع,اكثر من رائع,['general'],{'general': 'positive'},1.0,1,12,3,0.8333333333333334,0
7903,خدمة متستاهلش ربع نجمة طالب الطلب اتلغي مرتين و هرجع انام جنب الفلوس اللي هي مبلغ مش قليل على ما ترجع تاني حاجة قمة السوء,خدمة متستاهلش ربع نجمة طالب الطلب اتلغي مرتين و هرجع انام جنب الفلوس اللي هي مبلغ مش قليل على ما ترجع تاني حاجة قمة السوء,"['delivery', 'price']","{'delivery': 'negative', 'price': 'negative'}",0.2,1,121,25,0.8016528925619835,0
3956,عياده جميله اداء الدكتور فادي كان جميل تنظيف الجير كان تجربه جميله و سريعه,"عياده جميله
اداء الدكتور فادي كان جميل
تنظيف الجير كان تجربه جميله و سريعه","['ambiance', 'service']","{'ambiance': 'positive', 'service': 'positive'}",1.0,0,74,14,0.8243243243243243,0
6472,بجد حاجه سييه جدا,بجد حاجه سيئه جدا,['general'],{'general': 'negative'},0.2,1,17,4,0.8235294117647058,0
2521,الشيشة حلوة قوي وفتحي مش بيتاخر في الولعة,الشيشة حلوة قوي وفتحي مش بيتأخر في الولعة,"['food', 'service']","{'food': 'positive', 'service': 'positive'}",0.8,0,41,8,0.8292682926829268,0
6952,كابتن محترم,كابتن محترم,['service'],{'service': 'positive'},1.0,1,11,2,0.9090909090909091,0
9102,كل شيء مع الوقت سيصبح يجب دفع ثمن و التطبيق بدا يحاصر راحة المستمع,كل شيء مع الوقت سيصبح يجب دفع ثمن و التطبيق بدأ يحاصر راحة المستمع,"['price', 'app_experience']","{'price': 'negative', 'app_experience': 'negative'}",0.2,1,66,14,0.803030303030303,0
3244,والله لن اسامح ان اسامح ما فعلتم بطفلي اخذتوه ليس به شيء داخل غرفة العمليات ذبحتوه غير انه يوجد فتح في بطنه غير مبرر ما هو السبب وماهي الج ر يمه الطبيه وراء ذلك,"والله لن اسامح ان اسامح ما فعلتم بطفلي اخذتوه ليس به شيء داخل غرفة العمليات ذبحتوه
غير انه يوجد فتح في بطنه غير مبرر ما هو السبب وماهي الج ر يمه الطبيه وراء ذلك",['service'],{'service': 'negative'},0.2,0,160,34,0.79375,0
8903,تطبيق زفت كل ما اضغط على اغنيه يجيب اغنيه تانيه,تطبيق زفت كل ما اضغط على اغنيه يجيب اغنيه تانيه,['app_experience'],{'app_experience': 'negative'},0.2,1,47,10,0.8085106382978723,0
2840,ممتاز,ممتاز,['general'],{'general': 'positive'},1.0,0,5,1,1.0,0
6447,التوصيل بيجي متاخر جدا جدا انا طالب اوردر الساعه 3 جاي 5,التوصيل بيجي متاخر جدا جدا انا طالب اوردر الساعه 3 جاي 5,['delivery'],{'delivery': 'negative'},0.2,1,56,12,0.7678571428571429,0
5896,شغل نظيف ومرتب مرا مشاءلله حلو مرا نفس الي ابيه بالضبط,شغل نظيف ومرتب مرا مشاءلله حلو مرا نفس الي ابيه بالضبط,"['cleanliness', 'service']","{'cleanliness': 'positive', 'service': 'positive'}",1.0,0,54,11,0.8148148148148148,0
7616,جوميا الاسوا في السوق وغير مهيات للسوق المصري متاخرين جدن ولا انصح بجوميا اي احد تجربتي كانة سيا جدن اهضار الوقة ومجهود ولا يجد دعم حقيقي,جوميا الأسوأ في السوق وغير مهيات للسوق المصري متأخرين جدن ولا انصح بجوميا اي احد تجربتي كانة سيا جدن إهضار الوقة ومجهود ولا يجد دعم حقيقي,"['delivery', 'service']","{'delivery': 'negative', 'service': 'negative'}",0.2,1,137,26,0.8175182481751825,0
599,كوستا كوفي من افضل محلات القهوة المكان ضيق وهو في موقع مهم وزحمة .,"كوستا كوفي من افضل محلات القهوة
المكان ضيق وهو في موقع مهم وزحمة .",['ambiance'],{'ambiance': 'neutral'},0.6,0,66,14,0.7878787878787878,0
6206,بجد اشطر دكتور اسنان و عن تجربة,بجد اشطر دكتور اسنان و عن تجربة ❤️❤️❤️,['general'],{'general': 'positive'},1.0,0,38,8,0.6578947368421053,0
1307,الاكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رايع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء الله لينا زيارات كتير للمطعم,"الأكل فوق الروعة وكان كلو فريش وسخن والسعر مقابل الجودة رائع جدا و صاحب المطعم قمة في الزوق في التعامل والاهتمام بالعميل
حقيقيالناس اللي معايا كانت مبسوطة جدا وان شاء اللّه لينا زيارات كتير للمطعم🤍","['food', 'price', 'service']","{'food': 'positive', 'price': 'positive', 'service': 'positive'}",1.0,0,197,35,0.8223350253807107,1
8407,اعلانات وسيء,اعلانات وسيء,['app_experience'],{'app_experience': 'negative'},0.2,1,12,2,0.9166666666666666,0
2637,حاطين طوب في السندوتشات؟ حسبي الله و نعم الوكيل,"حاطين طوب في السندوتشات؟
حسبي الله و نعم الوكيل",['food'],{'food': 'negative'},0.4,0,47,9,0.8297872340425532,0
7108,والله مره حلو,والله مره حلو,['general'],{'general': 'positive'},1.0,1,13,3,0.8461538461538461,0
2644,المحل كان علم من اعلام التجمع ، كنت بفطر عندهم لمده ثلاث سنوات ، كنت انتظر الاوردر لمده 15 دقيقه من كتر الزحام ، و لكن للاسف المستوي انحدر و المحل اصبح فاضي ، ارجو معالجه الاخطاء لان المنافسه اصبحت للافضل,المحل كان علم من اعلام التجمع ، كنت بفطر عندهم لمده ثلاث سنوات ، كنت انتظر الاوردر لمده 15 دقيقه من كتر الزحام ، و لكن للاسف المستوي انحدر و المحل أصبح فاضي ، ارجو معالجه الأخطاء لأن المنافسه أصبحت للافضل,"['service', 'food', 'ambiance']","{'service': 'negative', 'food': 'negative', 'ambiance': 'negative'}",0.2,0,204,41,0.7941176470588235,0
6549,سيي في نصب على الكباتن حرام,سيئ في نصب على الكباتن حرام,['service'],{'service': 'negative'},0.2,1,27,6,0.8148148148148148,0
1712,الموسيقى غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الى حد ما حبيت المكان,"الموسيقى غير مناسبة للمكان وصاحبة جدا
الستاف لطيف
والاكل جيد
والحمام نضيف
والاسعار مناسبة إلى حد ما
حبيت المكان","['ambiance', 'service', 'food', 'cleanliness', 'price']","{'ambiance': 'negative', 'service': 'positive', 'food': 'positive', 'cleanliness': 'positive', 'price': 'neutral'}",0.8,0,111,19,0.8378378378378378,0
5584,اشطر دكتور و ايده خفيفة ماشاء اللـه واخلاقة كثير عالية ومتعاون جدا,اشطر دكتور و إيده خفيفة ماشاء اللـه واخلاقة كثير عالية ومتعاون جدا🤍🤍,['service'],{'service': 'positive'},1.0,0,68,12,0.8088235294117647,1
